cluster_name,,A_1,A_2,A_3,A_4,A_5,A_6,B_1,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_2,B_22,B_23,B_24,B_25,B_26,B_27,B_28,B_29,B_3,B_30,B_4,B_5,B_6,B_7,B_8,B_9,C_1,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_2,C_20,C_21,C_3,C_4,C_5,C_6,C_7,C_8,C_9,D_1,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9,E_1,E_2,E_3,E_4,E_5,E_6,E_7
Lion_B,B_14,0.79274833,0.7800198,0.782216,0.8795352,0.920735,0.891938,0.9941573,0.98083544,0.9900345,0.98519456,0.98618686,0.9999997,0.9895238,0.99170065,0.99154115,0.96862483,0.9486685,0.9934604,0.9703076,0.9848876,0.9732437,0.9703617,0.9640231,0.95536304,0.9696411,0.9686382,0.97971606,0.9723531,0.9722253,0.97796303,0.9725858,0.95344394,0.93781626,0.97032255,0.7702743,0.8280845,0.81210494,0.8383205,0.7687714,0.8294002,0.84787355,0.7987796,0.85455155,0.72773856,0.827119,0.81961703,0.7687714,0.8294002,0.84787355,0.7987796,0.85455155,0.72773856,0.827119,0.81961703,0.7687714,0.8294002,0.84787355,0.7987796,0.85455155,0.82108403,0.8503646,0.740635,0.858827,0.741144,0.597353,0.702054,0.8360845,0.8757447,0.84736776,0.81508714,0.796262
Lion_B,B_15,0.8605473,0.8525596,0.8505567,0.88686615,0.9067571,0.86196053,0.9977615,0.9845311,0.9855636,0.9822248,0.98652184,0.9895238,1,0.99325234,0.9886451,0.97383213,0.9316418,0.99100834,0.95671284,0.97267926,0.9629927,0.9653902,0.9645016,0.9301057,0.9573953,0.9678774,0.9798877,0.97989786,0.9649631,0.96409476,0.9634754,0.94557416,0.92667925,0.9724691,0.7815305,0.76438613,0.92727965,0.9383244,0.7702743,0.8280845,0.81210494,0.8383205,0.89148575,0.93499863,0.740635,0.7054002,0.7702743,0.8280845,0.81210494,0.8383205,0.89148575,0.93499863,0.740635,0.7054002,0.7702743,0.8280845,0.81210494,0.8383205,0.89148575,0.70809294,0.7091978,0.7054002,0.8707095,0.754002,0.7945596,0.592716,0.8197362,0.84971684,0.8123162,0.7776225,0.7588221
Lion_B,B_16,0.8881553,0.86547086,0.8074888,0.8618566,0.94049746,0.87242866,0.99377203,0.9805902,0.98695534,0.9862536,0.9826574,0.99170065,0.99325234,1,0.99246883,0.9826379,0.94142693,0.9959778,0.97126985,0.9818375,0.9685389,0.9703445,0.97316235,0.93900836,0.96373445,0.9737467,0.9878987,0.98047674,0.9726589,0.973897,0.96931475,0.94657737,0.9367291,0.9656855,0.78930265,0.7856487,0.8035538,0.7875883,0.7815305,0.76438613,0.92727965,0.9383244,0.9263058,0.71037465,0.72094046,0.62577215,0.7815305,0.76438613,0.92727965,0.9383244,0.9263058,0.71037465,0.72094046,0.62577215,0.7815305,0.76438613,0.92727965,0.9383244,0.9263058,0.6657303,0.7111715,0.7856487,0.7111715,0.7211972,0.682835,0.6837914,0.8262718,0.8524704,0.8143866,0.77937925,0.76025856
Lion_B,B_17,0.7864812,0.7690284,0.701492,0.702054,0.794585,0.7170002,0.9894254,0.96625996,0.9775133,0.97489107,0.97513354,0.99154115,0.9886451,0.99246883,1,0.97465265,0.94653535,0.9980543,0.9711469,0.9850559,0.98109233,0.9815451,0.97165835,0.95339686,0.97639215,0.97859645,0.9812907,0.9729697,0.98243,0.9799359,0.9802465,0.9522675,0.92463,0.97254336,0.9129642,0.8215447,0.754002,0.7797001,0.78930265,0.7856487,0.8035538,0.7875883,0.89427626,0.79907715,0.87434137,0.86726546,0.78930265,0.7856487,0.8035538,0.7875883,0.89427626,0.79907715,0.87434137,0.86726546,0.78930265,0.7856487,0.8035538,0.7875883,0.89427626,0.69126476,0.8121874,0.8035538,0.8121874,0.8204828,0.627648,0.7062799,0.83428717,0.8715714,0.8382655,0.8051942,0.786607
Lion_B,B_18,0.83302176,0.7917222,0.709978,0.708263,0.8085103,0.7036383,0.9747698,0.9570521,0.9601657,0.9617877,0.9708139,0.96862483,0.97383213,0.9826379,0.97465265,1.0000001,0.90917236,0.9753046,0.9424947,0.95986736,0.9370141,0.9460526,0.9764572,0.8889331,0.92775977,0.96580863,0.9926123,0.97031224,0.94991684,0.9492878,0.94307953,0.9149873,0.8989873,0.9429786,0.8326527,0.8410002,0.8566977,0.79907715,0.9129642,0.8215447,0.754002,0.7797001,0.849825,0.7801091,0.894749,0.8802231,0.9129642,0.8215447,0.754002,0.7797001,0.849825,0.7801091,0.894749,0.8802231,0.9129642,0.8215447,0.754002,0.7797001,0.849825,0.85550575,0.8429851,0.7341144,0.8286762,0.682044,0.592716,0.6828552,0.7891825,0.8055321,0.77039516,0.737273,0.7198616
Lion_B,B_19,0.87690973,0.79866993,0.730846,0.602159,0.7265199,0.8840877,0.9337014,0.9251513,0.9441676,0.93883896,0.9206399,0.9486685,0.9316418,0.94142693,0.94653535,0.90917236,1.0000001,0.94929826,0.9655093,0.9663089,0.9572648,0.9544989,0.9311302,0.96148354,0.96261,0.94179934,0.93858,0.9334439,0.956413,0.9674541,0.9575808,0.960031,0.9298253,0.92889476,0.8329488,0.8581144,0.87881027,0.7801091,0.8326527,0.8410002,0.8566977,0.79907715,0.868844,0.7987796,0.78324926,0.7716172,0.8326527,0.8410002,0.8566977,0.79907715,0.868844,0.7987796,0.78324926,0.7716172,0.8326527,0.8410002,0.8566977,0.79907715,0.868844,0.8566977,0.8497541,0.8535337,0.8410002,0.782825,0.81908221,0.754002,0.8549381,0.89660287,0.8635507,0.8291143,0.8088242
Lion_B,B_2,0.8846487,0.79152954,0.604649,0.8441951,0.7956958,0.65438613,0.9920447,0.97266424,0.98344374,0.98093265,0.9772883,0.9934604,0.99100834,0.9959778,0.9980543,0.9753046,0.94929826,0.99999994,0.9761365,0.9871826,0.9801512,0.9803195,0.971545,0.95514023,0.9767364,0.97768104,0.9830664,0.97542024,0.98237956,0.98145944,0.98014134,0.9529348,0.9338931,0.97201765,0.7687714,0.8294002,0.84787355,0.7987796,0.8329488,0.8581144,0.87881027,0.7801091,0.830452,0.8383205,0.7808155,0.7720909,0.8329488,0.8581144,0.87881027,0.7801091,0.830452,0.8383205,0.7808155,0.7720909,0.8329488,0.8581144,0.87881027,0.7801091,0.830452,0.87881027,0.6828552,0.86783014,0.8566977,0.8172311,0.68796236,0.7134931,0.83647764,0.8707036,0.83584964,0.8019172,0.7826793
Lion_B,B_22,0.925331,0.7845887,0.697343,0.8453076,0.801904,0.782825,0.9576271,0.9453627,0.96839124,0.9687111,0.93845254,0.9703076,0.95671284,0.97126985,0.9711469,0.9424947,0.9655093,0.9761365,1.0000002,0.98620415,0.97148263,0.970524,0.9582002,0.96634996,0.972702,0.9642309,0.9553494,0.9490432,0.97342265,0.98174393,0.97064924,0.94840753,0.9525031,0.9418121,0.7702743,0.8280845,0.81210494,0.8383205,0.7687714,0.8294002,0.84787355,0.7987796,0.85455155,0.72773856,0.827119,0.81961703,0.7687714,0.8294002,0.84787355,0.7987796,0.85455155,0.72773856,0.827119,0.81961703,0.7687714,0.8294002,0.84787355,0.7987796,0.85455155,0.84787355,0.8503646,0.8881553,0.86511366,0.7036383,0.6596258,0.6861893,0.84127843,0.86969864,0.83213925,0.7980616,0.77790946
Lion_B,B_23,0.8594783,0.88991976,0.808253,0.8028416,0.81359703,0.8172311,0.97485715,0.96174943,0.97699505,0.9731754,0.9646691,0.9848876,0.97267926,0.9818375,0.9850559,0.95986736,0.9663089,0.9871826,0.98620415,1,0.984432,0.982795,0.97556263,0.96840966,0.98206294,0.9792348,0.97273135,0.96714497,0.98629814,0.99111843,0.9836727,0.9615267,0.9430906,0.96589243,0.7815305,0.76438613,0.92727965,0.9383244,0.7702743,0.8280845,0.81210494,0.8383205,0.89148575,0.93499863,0.740635,0.7054002,0.7702743,0.8280845,0.81210494,0.8383205,0.89148575,0.93499863,0.740635,0.7054002,0.7702743,0.8280845,0.81210494,0.8383205,0.89148575,0.81210494,0.79746765,0.727638,0.7933251,0.80668224,0.6657303,0.69126476,0.8448953,0.88373643,0.85330355,0.82111526,0.8018408
Lion_B,B_24,0.80952406,0.86689425,0.7211972,0.740635,0.74997037,0.7376733,0.9643983,0.9403842,0.95770586,0.9526862,0.94691414,0.9732437,0.9629927,0.9685389,0.98109233,0.9370141,0.9572648,0.9801512,0.97148263,0.984432,1,0.9921746,0.96280617,0.9729501,0.993423,0.9767359,0.9508022,0.95586574,0.99262464,0.986704,0.99137604,0.958045,0.9182104,0.9629493,0.78930265,0.7856487,0.8035538,0.7875883,0.7815305,0.76438613,0.92727965,0.9383244,0.9263058,0.71037465,0.72094046,0.62577215,0.7815305,0.76438613,0.92727965,0.9383244,0.9263058,0.71037465,0.72094046,0.62577215,0.7815305,0.76438613,0.92727965,0.9383244,0.9263058,0.81854606,0.8095518,0.692706,0.8033223,0.81925834,0.7111715,0.8121874,0.8598425,0.90027076,0.8676002,0.8330362,0.81386423
Lion_B,B_25,0.78787804,0.8493228,0.88827,0.7845887,0.8110204,0.8268556,0.9652586,0.938934,0.95442265,0.9470906,0.94733363,0.9703617,0.9653902,0.9703445,0.9815451,0.9460526,0.9544989,0.9803195,0.970524,0.982795,0.9921746,0.9999999,0.97302693,0.9645831,0.9931306,0.9880965,0.95637214,0.96211004,0.99753225,0.98756677,0.99568534,0.9601866,0.9040916,0.97105575,0.9129642,0.8215447,0.754002,0.7797001,0.78930265,0.7856487,0.8035538,0.7875883,0.89427626,0.79907715,0.87434137,0.86726546,0.78930265,0.7856487,0.8035538,0.7875883,0.89427626,0.79907715,0.87434137,0.86726546,0.78930265,0.7856487,0.8035538,0.7875883,0.89427626,0.80416113,0.7979878,0.704366,0.85245896,0.79028774,0.7856487,0.8035538,0.8427018,0.8869147,0.8630678,0.8324437,0.8153885
Lion_B,B_26,0.79274833,0.8605473,0.8881553,0.8255308,0.848819,0.8604108,0.9642197,0.9461549,0.9538776,0.95162195,0.9563559,0.9640231,0.9645016,0.97316235,0.97165835,0.9764572,0.9311302,0.971545,0.9582002,0.97556263,0.96280617,0.97302693,1.0000001,0.9197402,0.95741487,0.99205357,0.97528934,0.97225684,0.9777058,0.97740746,0.9728162,0.93915737,0.89950395,0.95400363,0.8326527,0.8410002,0.8566977,0.79907715,0.9129642,0.8215447,0.754002,0.7797001,0.849825,0.7801091,0.894749,0.8802231,0.9129642,0.8215447,0.754002,0.7797001,0.849825,0.7801091,0.894749,0.8802231,0.9129642,0.8215447,0.754002,0.7797001,0.849825,0.701492,0.702054,0.794585,0.770002,0.741144,0.8215447,0.754002,0.81855524,0.83999455,0.8109019,0.77894056,0.76223105
Lion_B,B_27,0.7800198,0.8525596,0.86547086,0.81880844,0.84298265,0.854221,0.9354248,0.91570354,0.94292545,0.9299537,0.9116999,0.95536304,0.9301057,0.93900836,0.95339686,0.8889331,0.96148354,0.95514023,0.96634996,0.96840966,0.9729501,0.9645831,0.9197402,0.99999994,0.9806322,0.9412819,0.9148728,0.91664886,0.967758,0.98030996,0.9709183,0.9491439,0.91581774,0.9326464,0.8329488,0.8581144,0.87881027,0.7801091,0.8326527,0.8410002,0.8566977,0.79907715,0.868844,0.7987796,0.78324926,0.7716172,0.8326527,0.8410002,0.8566977,0.79907715,0.868844,0.7987796,0.78324926,0.7716172,0.8326527,0.8410002,0.8566977,0.79907715,0.868844,0.709978,0.708263,0.7875883,0.9383244,0.9263058,0.8410002,0.8566977,0.853631,0.91546065,0.90156704,0.8744784,0.8553052
Lion_B,B_28,0.782216,0.8505567,0.8074888,0.8269273,0.85001385,0.861539,0.9589938,0.9345543,0.9543778,0.9467066,0.94008356,0.9696411,0.9573953,0.96373445,0.97639215,0.92775977,0.96261,0.9767364,0.972702,0.98206294,0.993423,0.9931306,0.95741487,0.9806322,0.99999976,0.975767,0.9442689,0.9514514,0.99330634,0.98874474,0.9960783,0.963758,0.91598755,0.96622443,0.7687714,0.8294002,0.84787355,0.7987796,0.8329488,0.8581144,0.87881027,0.7801091,0.830452,0.8383205,0.7808155,0.7720909,0.8329488,0.8581144,0.87881027,0.7801091,0.830452,0.8383205,0.7808155,0.7720909,0.8329488,0.8581144,0.87881027,0.7801091,0.830452,0.730846,0.602159,0.7797001,0.9182232,0.9063289,0.8581144,0.87881027,0.8565231,0.9039787,0.877125,0.8446625,0.8255999
Lion_B,B_29,0.8795352,0.88686615,0.8618566,0.8123921,0.83677286,0.8522935,0.9678237,0.9430259,0.95367163,0.94808894,0.9547692,0.9686382,0.9678774,0.9737467,0.97859645,0.96580863,0.94179934,0.97768104,0.9642309,0.9792348,0.9767359,0.9880965,0.99205357,0.9412819,0.975767,1.0000001,0.96881396,0.9718832,0.9894434,0.98513496,0.9886901,0.95241153,0.89430285,0.96727467,0.7702743,0.8280845,0.81210494,0.8383205,0.7687714,0.8294002,0.84787355,0.7987796,0.85455155,0.72773856,0.827119,0.81961703,0.7687714,0.8294002,0.84787355,0.7987796,0.85455155,0.72773856,0.827119,0.81961703,0.7687714,0.8294002,0.84787355,0.7987796,0.85455155,0.7875883,0.89427626,0.79907715,0.87434137,0.86726546,0.8294002,0.84787355,0.8261421,0.86172616,0.83789134,0.80773044,0.79137087
Lion_B,B_3,0.920735,0.9067571,0.94049746,0.7901561,0.8166254,0.83143413,0.9825194,0.96686697,0.971493,0.97183144,0.97835964,0.97971606,0.9798877,0.9878987,0.9812907,0.9926123,0.93858,0.9830664,0.9553494,0.97273135,0.9508022,0.95637214,0.97528934,0.9148728,0.9442689,0.96881396,1,0.9771485,0.9605938,0.96427095,0.9551852,0.93355066,0.91353095,0.95255744,0.7815305,0.76438613,0.92727965,0.9383244,0.7702743,0.8280845,0.81210494,0.8383205,0.89148575,0.93499863,0.740635,0.7054002,0.7702743,0.8280845,0.81210494,0.8383205,0.89148575,0.93499863,0.740635,0.7054002,0.7702743,0.8280845,0.81210494,0.8383205,0.89148575,0.7797001,0.849825,0.7801091,0.894749,0.8802231,0.8280845,0.81210494,0.80523217,0.8321749,0.80035377,0.76671815,0.7486211
Lion_B,B_30,0.891938,0.86196053,0.87242866,0.782825,0.8172311,0.8329871,0.977707,0.9716627,0.9697785,0.96900463,0.97328115,0.9723531,0.97989786,0.98047674,0.9729697,0.97031224,0.9334439,0.97542024,0.9490432,0.96714497,0.95586574,0.96211004,0.97225684,0.91664886,0.9514514,0.9718832,0.9771485,1,0.9632577,0.962838,0.9614072,0.95725274,0.91709495,0.96450746,0.78930265,0.7856487,0.8035538,0.7875883,0.7815305,0.76438613,0.92727965,0.9383244,0.9263058,0.71037465,0.72094046,0.62577215,0.7815305,0.76438613,0.92727965,0.9383244,0.9263058,0.71037465,0.72094046,0.62577215,0.7815305,0.76438613,0.92727965,0.9383244,0.9263058,0.79907715,0.868844,0.7987796,0.78324926,0.7716172,0.76438613,0.81854606,0.8056406,0.83629394,0.8012973,0.7661407,0.74856424
Lion_B,B_4,0.90454817,0.9143745,0.90110433,0.727638,0.7933251,0.80668224,0.9662695,0.94093895,0.95685184,0.94965,0.94823813,0.9722253,0.9649631,0.9726589,0.98243,0.94991684,0.956413,0.98237956,0.97342265,0.98629814,0.99262464,0.99753225,0.9777058,0.967758,0.99330634,0.9894434,0.9605938,0.9632577,1.0000002,0.99231446,0.99681294,0.959896,0.9088112,0.9679816,0.9129642,0.8215447,0.754002,0.7797001,0.849825,0.7801091,0.894749,0.8802231,0.9129642,0.8215447,0.754002,0.7797001,0.849825,0.7801091,0.894749,0.8802231,0.9129642,0.8215447,0.754002,0.7797001,0.849825,0.7801091,0.894749,0.8802231,0.87881027,0.7801091,0.830452,0.8383205,0.7808155,0.7720909,0.7894183,0.80416113,0.8447362,0.8880513,0.86310357,0.83170915,0.8135949
Lion_B,B_5,0.89228606,0.7622549,0.93836397,0.692706,0.7303846,0.7211972,0.96748763,0.94811213,0.9665519,0.9589776,0.9513466,0.97796303,0.96409476,0.973897,0.9799359,0.9492878,0.9674541,0.98145944,0.98174393,0.99111843,0.986704,0.98756677,0.97740746,0.98030996,0.98874474,0.98513496,0.96427095,0.962838,0.99231446,1,0.99163693,0.96209097,0.92550015,0.9604007,0.8326527,0.8410002,0.8566977,0.79907715,0.868844,0.7987796,0.78324926,0.7716172,0.8326527,0.8410002,0.8566977,0.79907715,0.868844,0.7987796,0.78324926,0.7716172,0.8326527,0.8410002,0.8566977,0.79907715,0.868844,0.7987796,0.78324926,0.7716172,0.84787355,0.7987796,0.85455155,0.72773856,0.827119,0.81961703,0.76047863,0.80078673,0.84823793,0.8930688,0.8727172,0.84247303,0.82412064
Lion_B,B_6,0.84920216,0.7691185,0.8240007,0.704366,0.597353,0.80002124,0.9654128,0.93925416,0.95585644,0.9476613,0.9482778,0.9725858,0.9634754,0.96931475,0.9802465,0.94307953,0.9575808,0.98014134,0.97064924,0.9836727,0.99137604,0.99568534,0.9728162,0.9709183,0.9960783,0.9886901,0.9551852,0.9614072,0.99681294,0.99163693,1.0000001,0.9628228,0.90679085,0.9714766,0.8329488,0.8581144,0.87881027,0.7801091,0.830452,0.8383205,0.7808155,0.7720909,0.8329488,0.8581144,0.87881027,0.7801091,0.830452,0.8383205,0.7808155,0.7720909,0.8329488,0.8581144,0.87881027,0.7801091,0.830452,0.8383205,0.7808155,0.7720909,0.81210494,0.8383205,0.89148575,0.93499863,0.740635,0.7054002,0.8473547,0.84939075,0.84644735,0.89298224,0.8697258,0.83822364,0.8202046
